file,node_id,veg,kind,menu,menu_asserts,menu_building,open,open_asserts,open_building
east_41st_street/east_to_west/045_n00596_W.jpg,n00596,0.00341975,bare,There are no visible trees or greenery on the buildings. The street appears to be a typical urban setting with no vegetation at ground level.,False,True,There are no visible plants or trees in this view.,False,False
east_42nd_street/west_to_east/022_n00662_E.jpg,n00662,0.0027222500000000003,bare,There is no visible vegetation in the image.,False,False,There are no visible plants or vegetation in this view.,False,False
east_42nd_street/east_to_west/021_n00667_W.jpg,n00667,0.0046700000000000005,bare,There are no visible greenery or vegetation on the buildings or at ground level.,False,True,"There are potted plants visible on the sidewalk, located near the buildings and along the street.",True,False
1st_avenue/north_to_south/017_n00029_S.jpg,n00029,0.00513275,bare,There is no visible vegetation in the image.,False,False,There is no visible vegetation in this view.,False,False
2nd_avenue/south_to_north/008_n00053_N.jpg,n00053,0.13607125,vegetated,Street trees are visible along the sidewalk on the left side of the image.,True,False,"There are trees visible on the left side of the image, near the sidewalk, and on the right side, near the buildings.",True,False
lexington_avenue/north_to_south/032_n00691_S.jpg,n00691,0.10767525,vegetated,"There are street trees visible along the sidewalk, and there is greenery on the buildings.",True,True,"There are leafless trees visible along the sidewalk, particularly near the buildings and the street.",True,False
east_34th_street/east_to_west/032_n00282_W.jpg,n00282,0.14599475,vegetated,"There are street trees visible along the sidewalk, and there are also some green plants at ground level near the buildings.",True,False,"There are trees visible along the sidewalk on the left side of the image, and there are also some plants near the base of the buildings.",True,False
2nd_avenue/north_to_south/029_n00050_S.jpg,n00050,0.0541195,vegetated,"There are street trees visible along the sidewalk, providing greenery to the urban environment.",True,False,"There are trees visible on the left side of the image, near the construction site.",True,False
Park_Ave_Tunnel_Segment/west_to_east/034_n00169_E.jpg,n00169,0.18880425,vegetated,Street trees are visible along the sidewalk on the right side of the image.,True,False,"There are leafless trees visible on the right side of the image, along the sidewalk and near the buildings.",True,False
Park_Ave_West/south_to_north/015_n00223_N.jpg,n00223,0.28429125,vegetated,"There are street trees visible on the right side of the image, and there is greenery on the buildings, specifically on the left side of the image.",True,True,"There are trees with pink blossoms on the right side of the street, and some greenery along the sidewalk.",True,False
lexington_avenue/south_to_north/017_n00705_N.jpg,n00705,0.06609475,vegetated,"There are street trees visible along the sidewalk, providing greenery to the urban environment.",True,False,"There are trees visible in the view, located on the right side of the image, near the buildings and along the sidewalk.",True,False
Park_Ave_Tunnel_Segment/west_to_east/040_n00185_E.jpg,n00185,0.13996125,vegetated,There is no visible vegetation in the image.,False,False,"There are trees visible in the background on the right side of the image, near the buildings.",True,False
3rd_avenue/south_to_north/005_n00084_N.jpg,n00084,0.05346525,vegetated,There are street trees visible along the sidewalk on the left side of the image.,True,False,"There is a small tree visible on the left side of the image, near the sidewalk.",True,False
east_37th_street/west_to_east/020_n00427_E.jpg,n00427,0.16899324999999998,vegetated,"There are street trees visible along the sidewalk, and there is greenery on the buildings, including bushes and plants.",True,True,"There are trees visible on the sidewalks, particularly on the right side of the image, and there are also some bushes near the entrance of the building on the right.",True,False
east_41st_street/east_to_west/010_n00631_W.jpg,n00631,0.05043825,vegetated,"There are street trees visible on the sidewalk, and there is greenery on the buildings.",True,True,"There are young trees visible on the sidewalks, one on the left side and another on the right side of the image.",True,False
lexington_avenue/north_to_south/018_n00705_S.jpg,n00705,0.06609475,vegetated,"Street trees are visible along the sidewalk, providing greenery to the urban environment.",True,False,"There are trees visible along the sidewalk, particularly on the left side of the image, near the buildings.",True,False
east_38th_street/west_to_east/042_n00496_E.jpg,n00496,0.12458175,vegetated,There are no visible greenery or vegetation on the buildings or at ground level. The street trees are also absent.,False,True,"There is a tree visible on the right side of the image, near the top.",True,False
east_34th_street/west_to_east/033_n00299_E.jpg,n00299,0.11082525,vegetated,"Street trees are visible along the sidewalk, providing greenery to the urban environment.",True,False,"There are trees visible on the left side of the image, along the sidewalk.",True,False
east_36th_street/east_to_west/001_n00407_W.jpg,n00407,0.16131025,vegetated,"Street trees are visible, lining the street and providing shade.",True,False,"There are leafless trees visible along the street, particularly on the left side of the image, and some greenery in the distance near the buildings.",True,True
